country,year,emissions,v2x_libdem,v2psnatpar_ord,v2x_regime,region
Afghanistan,1940,NA,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1941,NA,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1942,NA,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1943,NA,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1944,NA,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1945,NA,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1946,NA,0.07,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1947,NA,0.07,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1948,NA,0.07,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1949,14.7,0.07,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1950,84.3,0.071,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1951,91.7,0.071,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1952,91.7,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1953,106,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1954,106,0.068,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1955,154,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1956,183,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1957,293,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1958,330,0.068,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1959,385,0.068,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1960,414,0.068,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1961,491,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1962,689,0.069,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1963,708,0.075,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1964,840,0.08,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1965,1010,0.097,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1966,1090,0.1,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1967,1280,0.1,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1968,1220,0.1,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1969,942,0.1,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1970,1670,0.099,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1971,1900,0.099,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1972,1530,0.098,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1973,1640,0.061,Unified coalition control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,1974,1920,0.055,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1975,2130,0.056,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1976,1990,0.056,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1977,2390,0.055,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1978,2160,0.051,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1979,2240,0.05,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1980,1760,0.044,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1981,1980,0.045,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1982,2100,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1983,2520,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1984,2830,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1985,3510,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1986,3140,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1987,3120,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1988,2870,0.048,Unified coalition control,Closed Autocracy,Eastern Mediterranean
