country,year,emissions,v2x_libdem,v2pstpar_ord,v2x_regime,region,gdp_pc,regime
Afghanistan,1991,2440,0.042,Unified coalition control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1992,1390,0.032,Unified coalition control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1993,1350,0.024,Unified coalition control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1994,1290,0.024,Unified coalition control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1995,1240,0.023,Unified coalition control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1996,1180,0.022,Divided party control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1997,1100,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1998,1040,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,1999,821,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,2000,774,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,2001,818,0.030,Divided party control,Closed Autocracy,Eastern Mediterranean,,Closed Autocracy
Afghanistan,2002,1070,0.095,Unified party control,Closed Autocracy,Eastern Mediterranean,179.4266,Closed Autocracy
Afghanistan,2003,1200,0.096,Unified party control,Closed Autocracy,Eastern Mediterranean,190.6838,Closed Autocracy
Afghanistan,2004,950,0.105,Unified party control,Electoral Autocracy,Eastern Mediterranean,211.3821,Electoral Autocracy
Afghanistan,2005,1330,0.130,Divided party control,Electoral Autocracy,Eastern Mediterranean,242.0313,Electoral Autocracy
Afghanistan,2006,1650,0.225,Divided party control,Electoral Autocracy,Eastern Mediterranean,263.7336,Electoral Autocracy
Afghanistan,2007,2270,0.227,Divided party control,Electoral Autocracy,Eastern Mediterranean,359.6932,Electoral Autocracy
Afghanistan,2008,4210,0.228,Divided party control,Electoral Autocracy,Eastern Mediterranean,364.6607,Electoral Autocracy
Afghanistan,2009,6770,0.226,Divided party control,Electoral Autocracy,Eastern Mediterranean,438.0761,Electoral Autocracy
Afghanistan,2010,8460,0.222,Divided party control,Electoral Autocracy,Eastern Mediterranean,543.3030,Electoral Autocracy
Afghanistan,2011,12200,0.223,Divided party control,Electoral Autocracy,Eastern Mediterranean,591.1628,Electoral Autocracy
Afghanistan,2012,10800,0.224,Divided party control,Electoral Autocracy,Eastern Mediterranean,641.8714,Electoral Autocracy
Afghanistan,2013,10000,0.221,Divided party control,Electoral Autocracy,Eastern Mediterranean,637.1655,Electoral Autocracy
Afghanistan,2014,9810,0.224,Divided party control,Electoral Autocracy,Eastern Mediterranean,613.8565,Electoral Autocracy
Albania,1991,4290,0.252,Unified coalition control,Electoral Autocracy,Europe,336.5870,Electoral Autocracy
Albania,1992,2520,0.322,Unified coalition control,Electoral Autocracy,Europe,200.8522,Electoral Autocracy
Albania,1993,2340,0.322,Divided party control,Electoral Autocracy,Europe,367.2792,Electoral Autocracy
Albania,1994,1930,0.340,Divided party control,Electoral Autocracy,Europe,586.4163,Electoral Autocracy
Albania,1995,2090,0.352,Divided party control,Electoral Autocracy,Europe,750.6044,Electoral Autocracy
Albania,1996,2020,0.326,Divided party control,Electoral Autocracy,Europe,1009.9777,Electoral Autocracy
Albania,1997,1540,0.311,Divided party control,Electoral Autocracy,Europe,717.3806,Electoral Autocracy
Albania,1998,1750,0.331,Divided party control,Electoral Autocracy,Europe,813.7903,Electoral Autocracy
Albania,1999,2980,0.335,Divided party control,Electoral Autocracy,Europe,1033.2417,Electoral Autocracy
Albania,2000,3020,0.347,Unified party control,Electoral Autocracy,Europe,1126.6833,Electoral Autocracy
Albania,2001,3220,0.370,Unified party control,Electoral Autocracy,Europe,1281.6594,Electoral Autocracy
Albania,2002,3750,0.401,Unified party control,Electoral Autocracy,Europe,1425.1248,Electoral Autocracy
Albania,2003,4290,0.403,Unified party control,Electoral Autocracy,Europe,1846.1188,Electoral Autocracy
Albania,2004,4170,0.406,Unified party control,Electoral Autocracy,Europe,2373.5798,Electoral Autocracy
Albania,2005,4250,0.420,Divided party control,Electoral Democracy,Europe,2673.7873,Electoral Democracy
Albania,2006,3900,0.437,Unified party control,Electoral Democracy,Europe,2972.7433,Electoral Democracy
Albania,2007,3930,0.440,Unified party control,Electoral Democracy,Europe,3595.0372,Electoral Democracy
Albania,2008,4370,0.442,Unified party control,Electoral Democracy,Europe,4370.5401,Electoral Democracy
Albania,2009,4380,0.446,Unified party control,Electoral Democracy,Europe,4114.1401,Electoral Democracy
Albania,2010,4600,0.444,Unified party control,Electoral Democracy,Europe,4094.3503,Electoral Democracy
Albania,2011,5240,0.444,Unified party control,Electoral Democracy,Europe,4437.1429,Electoral Democracy
Albania,2012,4910,0.441,Unified party control,Electoral Democracy,Europe,4247.6300,Electoral Democracy
Albania,2013,5060,0.421,Unified party control,Electoral Democracy,Europe,4413.0609,Electoral Democracy
Albania,2014,5720,0.431,Unified party control,Electoral Democracy,Europe,4578.6320,Electoral Democracy
